Nama Kampus,Sinta score
Universitas Kader Bangsa,9.955
Sekolah Tinggi Manajemen Ipmi,9.918
STKIP PGRI Pacitan,9.912
Institut Pertanian Stiper,9.837
Politeknik Lembaga Pendidikan dan Pengembangan Profesi Indonesia,9.833
Politeknik Ilmu Pemasyarakatan,9.802
Universitas Pesantren Tinggi Darul  ulum,9.784
Universitas Bina Insani,9.762
Institut Sains dan Bisnis Atma Luhur,9.745
Sekolah Tinggi Ilmu Kesehatan Buleleng,9.733
Sekolah Tinggi Ilmu Kesehatan Buleleng,9.733
Universitas Mikroskil,9.728
--disable--Institut Teknologi dan Bisnis Kalbis,9.625
Universitas Islam Majapahit,9.618
SEKOLAH TINGGI PASTORAL-YAYASAN INSTITUT PASTORAL INDONESIA MALANG,9.586
Universitas Puangrimaggalatung,9.577
Universitas Islam Ahmad Dahlan,9.539
Universitas Matana,9.483
Institut Agama Islam Negeri Bone,9.473
Universitas Mulia,9.466
Universitas Prof Dr Hazairin SH,9.462
Universitas Sains Indonesia,9.457
IAIN Langsa,9.432
Politeknik LPP Yogyakarta,9.415
Sekolah Tinggi Ilmu Kesehatan Kepanjen,9.404
Universitas Ekasakti,9.375
Universitas Tamansiswa Palembang,9.368
Sekolah Tinggi Ilmu Manajemen Sukma,9.351
Universitas Mathla ul Anwar,9.328
Universitas Patompo,9.298
Universitas Buddhi Dharma,9.290
Institut Kesehatan YARSI Mataram,9.277
Universitas IBA,9.277
Universitas Mohammad Husni Thamrin Jakarta,9.265
Institut Teknologi Batam,9.256
Universitas PGRI Argopuro Jember,9.253
Institut Sains Dan Teknologi Akprind,9.163
UNIVERSITAS MUHAMMADIYAH BONE,9.158
STIKES Widyagama Husada Malang,9.158
STKIP PGRI Jombang,9.134
STKIP Taman Siswa Bima,9.115
STKIP Bima,9.092
Poltekkes Kemenkes Gorontalo,9.065
Universitas Islam Raden Rahmat,8.998
Universitas Bina Insan,8.977
Institut Sains dan Teknologi Terpadu Surabaya,8.961
Sekolah Tinggi Teknologi Terpadu Nurul Fikri,8.961
Universitas Kristen Indonesia Paulus,8.907
Universitas Qamarul Huda Badaruddin Bagu,8.888
Universitas Insan Budi Utomo,8.871
STIKES Mitra Keluarga,8.843
Sekolah Tinggi Hukum Bandung,8.810
Universitas Yapis Papua,8.716
Sekolah Tinggi Ilmu Farmasi Riau,8.697
Universitas Global Jakarta,8.686
Universitas Dipa Makassar,8.667
STIKES Santa Elisabeth Medan,8.660
Universitas Multi Data Palembang,8.621
Sekolah Tinggi Ilmu Ekonomi PGRI Dewantara,8.605
Universitas Sari Putra Indonesia Tomohon,8.579
Universitas Winaya Mukti,8.562
Politeknik Baubau,8.558
Politeknik Ahli Usaha Perikanan,8.554
Institut Kesehatan Payung Negeri Pekanbaru,8.545
Universitas Almarisah Madani,8.491
